date,power
06/01/2018 22:10,12.4
06/01/2018 22:20,12.2
06/01/2018 22:30,12.4
06/01/2018 22:40,12.5
06/01/2018 22:50,12.4
06/01/2018 23:00,12.3
06/01/2018 23:10,12.7
06/01/2018 23:20,12.5
06/01/2018 23:30,12.3
06/01/2018 23:40,12.6
06/01/2018 23:50,12.8
07/01/2018 0:00,13.6
07/01/2018 0:10,12.9
07/01/2018 0:20,12.6
07/01/2018 0:30,12.5
07/01/2018 0:40,12.9
07/01/2018 0:50,13.4
07/01/2018 1:00,12.5
07/01/2018 1:10,12.6
07/01/2018 1:20,12.8
07/01/2018 1:30,13.0
07/01/2018 1:40,13.0
07/01/2018 1:50,12.5
07/01/2018 2:00,12.6
07/01/2018 2:10,12.8
07/01/2018 2:20,12.8
07/01/2018 2:30,12.6
07/01/2018 2:40,12.5
07/01/2018 2:50,12.6
07/01/2018 3:00,12.4
07/01/2018 3:10,12.5
07/01/2018 3:20,12.6
07/01/2018 3:30,12.8
07/01/2018 3:40,12.7
07/01/2018 3:50,12.7
07/01/2018 4:00,12.9
07/01/2018 4:10,12.7
07/01/2018 4:20,12.5
07/01/2018 4:30,12.7
07/01/2018 4:40,12.9
07/01/2018 4:50,12.6
07/01/2018 5:00,12.5
07/01/2018 5:10,12.6
07/01/2018 5:20,12.7
07/01/2018 5:30,12.8
07/01/2018 5:40,12.8
07/01/2018 5:50,12.9
07/01/2018 6:00,13.4
07/01/2018 6:10,13.2
07/01/2018 6:20,12.9
07/01/2018 6:30,12.8
07/01/2018 6:40,12.9
07/01/2018 6:50,12.7
07/01/2018 7:00,12.8
07/01/2018 7:10,12.7
07/01/2018 7:20,12.8
07/01/2018 7:30,12.6
07/01/2018 7:40,12.6
07/01/2018 7:50,12.7
07/01/2018 8:00,12.8
07/01/2018 8:10,13.4
07/01/2018 8:20,12.4
07/01/2018 8:30,10.8
07/01/2018 8:40,10.7
07/01/2018 8:50,10.9
07/01/2018 9:00,11.3
07/01/2018 9:10,10.9
07/01/2018 9:20,10.6
07/01/2018 9:30,10.8
07/01/2018 9:40,10.5
07/01/2018 9:50,10.6
07/01/2018 10:00,10.8
07/01/2018 10:10,10.6
07/01/2018 10:20,10.5
07/01/2018 10:30,10.6
07/01/2018 10:40,10.6
07/01/2018 10:50,10.5
07/01/2018 11:00,11.3
07/01/2018 11:10,10.9
07/01/2018 11:20,10.5
07/01/2018 11:30,11.0
07/01/2018 11:40,10.3
07/01/2018 11:50,10.2
07/01/2018 12:00,10.9
07/01/2018 12:10,11.1
07/01/2018 12:20,10.2
07/01/2018 12:30,10.3
07/01/2018 12:40,10.4
07/01/2018 12:50,10.5
07/01/2018 13:00,10.8
07/01/2018 13:10,11.0
07/01/2018 13:20,10.8
07/01/2018 13:30,10.5
07/01/2018 13:40,11.5
07/01/2018 13:50,10.7
07/01/2018 14:00,10.6
07/01/2018 14:10,10.5
07/01/2018 14:20,10.6
07/01/2018 14:30,10.4
07/01/2018 14:40,10.4
07/01/2018 14:50,10.8
07/01/2018 15:00,10.3
07/01/2018 15:10,10.5
07/01/2018 15:20,10.7
